discipline_title,event_title,event_gender,medal_type,participant_type,country_3_letter_code,game_location,game_season,game_year,game_name
Alpine Skiing,Men's Super-G,Men,Silver,Athlete,USA,China,Winter,2022,Beijing 2022
Alpine Skiing,Men’s Alpine Combined,Men,Bronze,Athlete,FRA,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Men’s Alpine Combined,Men,Gold,Athlete,AUT,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Men’s Alpine Combined,Men,Silver,Athlete,FRA,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Men’s Downhill,Men,Bronze,Athlete,CHE,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Men’s Downhill,Men,Gold,Athlete,NOR,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Men’s Downhill,Men,Silver,Athlete,NOR,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Men’s Giant Slalom,Men,Bronze,Athlete,FRA,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Men’s Giant Slalom,Men,Gold,Athlete,AUT,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Men’s Giant Slalom,Men,Silver,Athlete,NOR,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Men’s Slalom,Men,Bronze,Athlete,AUT,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Men’s Slalom,Men,Gold,Athlete,SWE,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Men’s Slalom,Men,Silver,Athlete,CHE,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Men’s Super-G,Men,Bronze,Athlete,NOR,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Men’s Super-G,Men,Gold,Athlete,AUT,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Men’s Super-G,Men,Silver,Athlete,CHE,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Mixed Team Parallel,Mixed,Bronze,Team,NOR,China,Winter,2022,Beijing 2022
Alpine Skiing,Mixed Team Parallel,Mixed,Gold,Team,AUT,China,Winter,2022,Beijing 2022
Alpine Skiing,Mixed Team Parallel,Mixed,Silver,Team,DEU,China,Winter,2022,Beijing 2022
Alpine Skiing,Women's Alpine Combined,Women,Bronze,Athlete,ITA,China,Winter,2022,Beijing 2022
Alpine Skiing,Women's Alpine Combined,Women,Gold,Athlete,CHE,China,Winter,2022,Beijing 2022
Alpine Skiing,Women's Alpine Combined,Women,Silver,Athlete,CHE,China,Winter,2022,Beijing 2022
Alpine Skiing,Women's Downhill,Women,Bronze,Athlete,ITA,China,Winter,2022,Beijing 2022
Alpine Skiing,Women's Downhill,Women,Gold,Athlete,CHE,China,Winter,2022,Beijing 2022
Alpine Skiing,Women's Downhill,Women,Silver,Athlete,ITA,China,Winter,2022,Beijing 2022
Alpine Skiing,Women's Giant Slalom,Women,Bronze,Athlete,CHE,China,Winter,2022,Beijing 2022
Alpine Skiing,Women's Giant Slalom,Women,Gold,Athlete,SWE,China,Winter,2022,Beijing 2022
Alpine Skiing,Women's Giant Slalom,Women,Silver,Athlete,ITA,China,Winter,2022,Beijing 2022
Alpine Skiing,Women's Slalom,Women,Bronze,Athlete,CHE,China,Winter,2022,Beijing 2022
Alpine Skiing,Women's Slalom,Women,Gold,Athlete,SVK,China,Winter,2022,Beijing 2022
Alpine Skiing,Women's Slalom,Women,Silver,Athlete,AUT,China,Winter,2022,Beijing 2022
Alpine Skiing,Women's Super-G,Women,Bronze,Athlete,CHE,China,Winter,2022,Beijing 2022
Alpine Skiing,Women's Super-G,Women,Gold,Athlete,CHE,China,Winter,2022,Beijing 2022
Alpine Skiing,Women's Super-G,Women,Silver,Athlete,AUT,China,Winter,2022,Beijing 2022
Alpine Skiing,alpin combined men,Men,Bronze,Athlete,CHE,Canada,Winter,2010,Vancouver 2010
Alpine Skiing,alpin combined men,Men,Gold,Athlete,USA,Canada,Winter,2010,Vancouver 2010
Alpine Skiing,alpin combined men,Men,Silver,Athlete,HRV,Canada,Winter,2010,Vancouver 2010
Alpine Skiing,alpine combined men,Men,Bronze,Athlete,AUT,Italy,Winter,2006,Turin 2006
Alpine Skiing,alpine combined men,Men,Bronze,Athlete,AUT,Japan,Winter,1998,Nagano 1998
Alpine Skiing,alpine combined men,Men,Bronze,Athlete,AUT,United States,Winter,2002,Salt Lake City 2002
Alpine Skiing,alpine combined men,Men,Bronze,Athlete,CHE,Canada,Winter,1988,Calgary 1988
Alpine Skiing,alpine combined men,Men,Bronze,Athlete,CHE,France,Winter,1992,Albertville 1992
Alpine Skiing,alpine combined men,Men,Bronze,Athlete,FRA,Germany,Winter,1936,Garmisch-Partenkirchen 1936
Alpine Skiing,alpine combined men,Men,Bronze,Athlete,FRA,Switzerland,Winter,1948,St. Moritz 1948
Alpine Skiing,alpine combined men,Men,Bronze,Athlete,ITA,Russian Federation,Winter,2014,Sochi 2014
Alpine Skiing,alpine combined men,Men,Bronze,Athlete,NOR,Norway,Winter,1994,Lillehammer 1994
Alpine Skiing,alpine combined men,Men,Gold,Athlete,AUT,Canada,Winter,1988,Calgary 1988
Alpine Skiing,alpine combined men,Men,Gold,Athlete,AUT,Japan,Winter,1998,Nagano 1998
Alpine Skiing,alpine combined men,Men,Gold,Athlete,CHE,Russian Federation,Winter,2014,Sochi 2014
Alpine Skiing,alpine combined men,Men,Gold,Athlete,DEU,Germany,Winter,1936,Garmisch-Partenkirchen 1936
Alpine Skiing,alpine combined men,Men,Gold,Athlete,FRA,Switzerland,Winter,1948,St. Moritz 1948
Alpine Skiing,alpine combined men,Men,Gold,Athlete,ITA,France,Winter,1992,Albertville 1992
Alpine Skiing,alpine combined men,Men,Gold,Athlete,NOR,Norway,Winter,1994,Lillehammer 1994
Alpine Skiing,alpine combined men,Men,Gold,Athlete,NOR,United States,Winter,2002,Salt Lake City 2002
Alpine Skiing,alpine combined men,Men,Gold,Athlete,USA,Italy,Winter,2006,Turin 2006
Alpine Skiing,alpine combined men,Men,Silver,Athlete,AUT,Canada,Winter,1988,Calgary 1988
Alpine Skiing,alpine combined men,Men,Silver,Athlete,CHE,Switzerland,Winter,1948,St. Moritz 1948
Alpine Skiing,alpine combined men,Men,Silver,Athlete,DEU,Germany,Winter,1936,Garmisch-Partenkirchen 1936
Alpine Skiing,alpine combined men,Men,Silver,Athlete,HRV,Italy,Winter,2006,Turin 2006
Alpine Skiing,alpine combined men,Men,Silver,Athlete,HRV,Russian Federation,Winter,2014,Sochi 2014
Alpine Skiing,alpine combined men,Men,Silver,Athlete,ITA,France,Winter,1992,Albertville 1992
Alpine Skiing,alpine combined men,Men,Silver,Athlete,NOR,Japan,Winter,1998,Nagano 1998
Alpine Skiing,alpine combined men,Men,Silver,Athlete,NOR,Norway,Winter,1994,Lillehammer 1994
Alpine Skiing,alpine combined men,Men,Silver,Athlete,USA,United States,Winter,2002,Salt Lake City 2002
Alpine Skiing,alpine combined women,Women,Bronze,Athlete,AUT,Switzerland,Winter,1948,St. Moritz 1948
Alpine Skiing,alpine combined women,Women,Bronze,Athlete,CHE,Canada,Winter,1988,Calgary 1988
Alpine Skiing,alpine combined women,Women,Bronze,Athlete,DEU,Japan,Winter,1998,Nagano 1998
Alpine Skiing,alpine combined women,Women,Bronze,Athlete,DEU,United States,Winter,2002,Salt Lake City 2002
Alpine Skiing,alpine combined women,Women,Bronze,Athlete,FRA,France,Winter,1992,Albertville 1992
Alpine Skiing,alpine combined women,Women,Bronze,Athlete,NOR,Germany,Winter,1936,Garmisch-Partenkirchen 1936
Alpine Skiing,alpine combined women,Women,Bronze,Athlete,SVN,Norway,Winter,1994,Lillehammer 1994
Alpine Skiing,alpine combined women,Women,Bronze,Athlete,SWE,Canada,Winter,2010,Vancouver 2010
Alpine Skiing,alpine combined women,Women,Bronze,Athlete,SWE,Italy,Winter,2006,Turin 2006
Alpine Skiing,alpine combined women,Women,Bronze,Athlete,USA,Russian Federation,Winter,2014,Sochi 2014
Alpine Skiing,alpine combined women,Women,Gold,Athlete,AUT,Canada,Winter,1988,Calgary 1988
Alpine Skiing,alpine combined women,Women,Gold,Athlete,AUT,France,Winter,1992,Albertville 1992
Alpine Skiing,alpine combined women,Women,Gold,Athlete,AUT,Switzerland,Winter,1948,St. Moritz 1948
Alpine Skiing,alpine combined women,Women,Gold,Athlete,DEU,Canada,Winter,2010,Vancouver 2010
Alpine Skiing,alpine combined women,Women,Gold,Athlete,DEU,Germany,Winter,1936,Garmisch-Partenkirchen 1936
Alpine Skiing,alpine combined women,Women,Gold,Athlete,DEU,Japan,Winter,1998,Nagano 1998
Alpine Skiing,alpine combined women,Women,Gold,Athlete,DEU,Russian Federation,Winter,2014,Sochi 2014
Alpine Skiing,alpine combined women,Women,Gold,Athlete,HRV,Italy,Winter,2006,Turin 2006
Alpine Skiing,alpine combined women,Women,Gold,Athlete,HRV,United States,Winter,2002,Salt Lake City 2002
Alpine Skiing,alpine combined women,Women,Gold,Athlete,SWE,Norway,Winter,1994,Lillehammer 1994
Alpine Skiing,alpine combined women,Women,Silver,Athlete,AUT,France,Winter,1992,Albertville 1992
Alpine Skiing,alpine combined women,Women,Silver,Athlete,AUT,Italy,Winter,2006,Turin 2006
Alpine Skiing,alpine combined women,Women,Silver,Athlete,AUT,Russian Federation,Winter,2014,Sochi 2014
Alpine Skiing,alpine combined women,Women,Silver,Athlete,AUT,United States,Winter,2002,Salt Lake City 2002
Alpine Skiing,alpine combined women,Women,Silver,Athlete,CHE,Canada,Winter,1988,Calgary 1988
Alpine Skiing,alpine combined women,Women,Silver,Athlete,CHE,Norway,Winter,1994,Lillehammer 1994
Alpine Skiing,alpine combined women,Women,Silver,Athlete,DEU,Germany,Winter,1936,Garmisch-Partenkirchen 1936
Alpine Skiing,alpine combined women,Women,Silver,Athlete,DEU,Japan,Winter,1998,Nagano 1998
Alpine Skiing,alpine combined women,Women,Silver,Athlete,USA,Canada,Winter,2010,Vancouver 2010
Alpine Skiing,alpine combined women,Women,Silver,Athlete,USA,Switzerland,Winter,1948,St. Moritz 1948
Alpine Skiing,downhill men,Men,Bronze,Athlete,AUT,France,Winter,1992,Albertville 1992
Alpine Skiing,downhill men,Men,Bronze,Athlete,AUT,Italy,Winter,1956,Cortina d'Ampezzo 1956
Alpine Skiing,downhill men,Men,Bronze,Athlete,AUT,Japan,Winter,1972,Sapporo 1972
Alpine Skiing,downhill men,Men,Bronze,Athlete,AUT,Japan,Winter,1998,Nagano 1998
Alpine Skiing,downhill men,Men,Bronze,Athlete,AUT,Norway,Winter,1952,Oslo 1952
Alpine Skiing,downhill men,Men,Bronze,Athlete,AUT,United States,Winter,2002,Salt Lake City 2002
Alpine Skiing,downhill men,Men,Bronze,Athlete,AUT,Yugoslavia,Winter,1984,Sarajevo 1984
Alpine Skiing,downhill men,Men,Bronze,Athlete,CAN,Norway,Winter,1994,Lillehammer 1994
Alpine Skiing,downhill men,Men,Bronze,Athlete,CAN,United States,Winter,1980,Lake Placid 1980
Alpine Skiing,downhill men,Men,Bronze,Athlete,CHE,France,Winter,1968,Grenoble 1968
Alpine Skiing,downhill men,Men,Bronze,Athlete,CHE,Italy,Winter,2006,Turin 2006
Alpine Skiing,downhill men,Men,Bronze,Athlete,CHE,Switzerland,Winter,1948,St. Moritz 1948
Alpine Skiing,downhill men,Men,Bronze,Athlete,DEU,Austria,Winter,1964,Innsbruck 1964
Alpine Skiing,downhill men,Men,Bronze,Athlete,FRA,Canada,Winter,1988,Calgary 1988
Alpine Skiing,downhill men,Men,Bronze,Athlete,FRA,United States,Winter,1960,Squaw Valley 1960
Alpine Skiing,downhill men,Men,Bronze,Athlete,ITA,Austria,Winter,1976,Innsbruck 1976
Alpine Skiing,downhill men,Men,Bronze,Athlete,NOR,Russian Federation,Winter,2014,Sochi 2014
Alpine Skiing,downhill men,Men,Bronze,Athlete,USA,Canada,Winter,2010,Vancouver 2010
Alpine Skiing,downhill men,Men,Gold,Athlete,AUT,Austria,Winter,1964,Innsbruck 1964
Alpine Skiing,downhill men,Men,Gold,Athlete,AUT,Austria,Winter,1976,Innsbruck 1976
Alpine Skiing,downhill men,Men,Gold,Athlete,AUT,France,Winter,1992,Albertville 1992
Alpine Skiing,downhill men,Men,Gold,Athlete,AUT,Italy,Winter,1956,Cortina d'Ampezzo 1956
Alpine Skiing,downhill men,Men,Gold,Athlete,AUT,Russian Federation,Winter,2014,Sochi 2014
Alpine Skiing,downhill men,Men,Gold,Athlete,AUT,United States,Winter,1980,Lake Placid 1980
Alpine Skiing,downhill men,Men,Gold,Athlete,AUT,United States,Winter,2002,Salt Lake City 2002
Alpine Skiing,downhill men,Men,Gold,Athlete,CHE,Canada,Winter,1988,Calgary 1988
Alpine Skiing,downhill men,Men,Gold,Athlete,CHE,Canada,Winter,2010,Vancouver 2010
Alpine Skiing,downhill men,Men,Gold,Athlete,CHE,Japan,Winter,1972,Sapporo 1972
Alpine Skiing,downhill men,Men,Gold,Athlete,FRA,France,Winter,1968,Grenoble 1968
Alpine Skiing,downhill men,Men,Gold,Athlete,FRA,Italy,Winter,2006,Turin 2006
Alpine Skiing,downhill men,Men,Gold,Athlete,FRA,Japan,Winter,1998,Nagano 1998
Alpine Skiing,downhill men,Men,Gold,Athlete,FRA,Switzerland,Winter,1948,St. Moritz 1948
Alpine Skiing,downhill men,Men,Gold,Athlete,FRA,United States,Winter,1960,Squaw Valley 1960
Alpine Skiing,downhill men,Men,Gold,Athlete,ITA,Norway,Winter,1952,Oslo 1952
Alpine Skiing,downhill men,Men,Gold,Athlete,USA,Norway,Winter,1994,Lillehammer 1994
Alpine Skiing,downhill men,Men,Gold,Athlete,USA,Yugoslavia,Winter,1984,Sarajevo 1984
Alpine Skiing,downhill men,Men,Silver,Athlete,AUT,Italy,Winter,2006,Turin 2006
Alpine Skiing,downhill men,Men,Silver,Athlete,AUT,Norway,Winter,1952,Oslo 1952
Alpine Skiing,downhill men,Men,Silver,Athlete,AUT,Switzerland,Winter,1948,St. Moritz 1948
Alpine Skiing,downhill men,Men,Silver,Athlete,AUT,United States,Winter,1980,Lake Placid 1980
Alpine Skiing,downhill men,Men,Silver,Athlete,CHE,Austria,Winter,1976,Innsbruck 1976
Alpine Skiing,downhill men,Men,Silver,Athlete,CHE,Canada,Winter,1988,Calgary 1988
Alpine Skiing,downhill men,Men,Silver,Athlete,CHE,Italy,Winter,1956,Cortina d'Ampezzo 1956
Alpine Skiing,downhill men,Men,Silver,Athlete,CHE,Japan,Winter,1972,Sapporo 1972
Alpine Skiing,downhill men,Men,Silver,Athlete,CHE,Yugoslavia,Winter,1984,Sarajevo 1984
Alpine Skiing,downhill men,Men,Silver,Athlete,DEU,United States,Winter,1960,Squaw Valley 1960
Alpine Skiing,downhill men,Men,Silver,Athlete,FRA,Austria,Winter,1964,Innsbruck 1964
Alpine Skiing,downhill men,Men,Silver,Athlete,FRA,France,Winter,1968,Grenoble 1968
Alpine Skiing,downhill men,Men,Silver,Athlete,FRA,France,Winter,1992,Albertville 1992
Alpine Skiing,downhill men,Men,Silver,Athlete,ITA,Russian Federation,Winter,2014,Sochi 2014
Alpine Skiing,downhill men,Men,Silver,Athlete,NOR,Canada,Winter,2010,Vancouver 2010
Alpine Skiing,downhill men,Men,Silver,Athlete,NOR,Japan,Winter,1998,Nagano 1998
Alpine Skiing,downhill men,Men,Silver,Athlete,NOR,Norway,Winter,1994,Lillehammer 1994
Alpine Skiing,downhill men,Men,Silver,Athlete,NOR,United States,Winter,2002,Salt Lake City 2002
Alpine Skiing,downhill women,Women,Bronze,Athlete,AUT,Austria,Winter,1964,Innsbruck 1964
Alpine Skiing,downhill women,Women,Bronze,Athlete,AUT,Canada,Winter,2010,Vancouver 2010
Alpine Skiing,downhill women,Women,Bronze,Athlete,AUT,France,Winter,1968,Grenoble 1968
Alpine Skiing,downhill women,Women,Bronze,Athlete,AUT,France,Winter,1992,Albertville 1992
Alpine Skiing,downhill women,Women,Bronze,Athlete,AUT,Switzerland,Winter,1948,St. Moritz 1948
Alpine Skiing,downhill women,Women,Bronze,Athlete,AUT,United States,Winter,1960,Squaw Valley 1960
Alpine Skiing,downhill women,Women,Bronze,Athlete,AUT,United States,Winter,2002,Salt Lake City 2002
Alpine Skiing,downhill women,Women,Bronze,Athlete,CAN,Canada,Winter,1988,Calgary 1988
Alpine Skiing,downhill women,Women,Bronze,Athlete,CAN,Italy,Winter,1956,Cortina d'Ampezzo 1956
Alpine Skiing,downhill women,Women,Bronze,Athlete,CHE,Russian Federation,Winter,2014,Sochi 2014
Alpine Skiing,downhill women,Women,Bronze,Athlete,CHE,United States,Winter,1980,Lake Placid 1980
Alpine Skiing,downhill women,Women,Bronze,Athlete,CZE,Yugoslavia,Winter,1984,Sarajevo 1984
Alpine Skiing,downhill women,Women,Bronze,Athlete,FRA,Japan,Winter,1998,Nagano 1998
Alpine Skiing,downhill women,Women,Bronze,Athlete,ITA,Norway,Winter,1952,Oslo 1952
Alpine Skiing,downhill women,Women,Bronze,Athlete,ITA,Norway,Winter,1994,Lillehammer 1994
Alpine Skiing,downhill women,Women,Bronze,Athlete,SWE,Italy,Winter,2006,Turin 2006
Alpine Skiing,downhill women,Women,Bronze,Athlete,USA,Austria,Winter,1976,Innsbruck 1976
Alpine Skiing,downhill women,Women,Bronze,Athlete,USA,Japan,Winter,1972,Sapporo 1972
Alpine Skiing,downhill women,Women,Gold,Athlete,AUT,Austria,Winter,1964,Innsbruck 1964
Alpine Skiing,downhill women,Women,Gold,Athlete,AUT,France,Winter,1968,Grenoble 1968
Alpine Skiing,downhill women,Women,Gold,Athlete,AUT,Italy,Winter,2006,Turin 2006
Alpine Skiing,downhill women,Women,Gold,Athlete,AUT,Norway,Winter,1952,Oslo 1952
Alpine Skiing,downhill women,Women,Gold,Athlete,AUT,United States,Winter,1980,Lake Placid 1980
Alpine Skiing,downhill women,Women,Gold,Athlete,CAN,France,Winter,1992,Albertville 1992
Alpine Skiing,downhill women,Women,Gold,Athlete,CHE,Italy,Winter,1956,Cortina d'Ampezzo 1956
Alpine Skiing,downhill women,Women,Gold,Athlete,CHE,Japan,Winter,1972,Sapporo 1972
Alpine Skiing,downhill women,Women,Gold,Athlete,CHE,Russian Federation,Winter,2014,Sochi 2014
Alpine Skiing,downhill women,Women,Gold,Athlete,CHE,Switzerland,Winter,1948,St. Moritz 1948
Alpine Skiing,downhill women,Women,Gold,Athlete,CHE,Yugoslavia,Winter,1984,Sarajevo 1984
Alpine Skiing,downhill women,Women,Gold,Athlete,DEU,Austria,Winter,1976,Innsbruck 1976
Alpine Skiing,downhill women,Women,Gold,Athlete,DEU,Canada,Winter,1988,Calgary 1988
Alpine Skiing,downhill women,Women,Gold,Athlete,DEU,Japan,Winter,1998,Nagano 1998
Alpine Skiing,downhill women,Women,Gold,Athlete,DEU,Norway,Winter,1994,Lillehammer 1994
Alpine Skiing,downhill women,Women,Gold,Athlete,DEU,United States,Winter,1960,Squaw Valley 1960
Alpine Skiing,downhill women,Women,Gold,Athlete,FRA,United States,Winter,2002,Salt Lake City 2002
Alpine Skiing,downhill women,Women,Gold,Athlete,SVN,Russian Federation,Winter,2014,Sochi 2014
Alpine Skiing,downhill women,Women,Gold,Athlete,USA,Canada,Winter,2010,Vancouver 2010
Alpine Skiing,downhill women,Women,Silver,Athlete,AUT,Austria,Winter,1964,Innsbruck 1964
Alpine Skiing,downhill women,Women,Silver,Athlete,AUT,Austria,Winter,1976,Innsbruck 1976
Alpine Skiing,downhill women,Women,Silver,Athlete,AUT,Japan,Winter,1972,Sapporo 1972
Alpine Skiing,downhill women,Women,Silver,Athlete,AUT,Switzerland,Winter,1948,St. Moritz 1948
Alpine Skiing,downhill women,Women,Silver,Athlete,CHE,Canada,Winter,1988,Calgary 1988
Alpine Skiing,downhill women,Women,Silver,Athlete,CHE,Italy,Winter,1956,Cortina d'Ampezzo 1956
Alpine Skiing,downhill women,Women,Silver,Athlete,CHE,Italy,Winter,2006,Turin 2006
Alpine Skiing,downhill women,Women,Silver,Athlete,CHE,Yugoslavia,Winter,1984,Sarajevo 1984
Alpine Skiing,downhill women,Women,Silver,Athlete,DEU,Norway,Winter,1952,Oslo 1952
Alpine Skiing,downhill women,Women,Silver,Athlete,FRA,France,Winter,1968,Grenoble 1968
Alpine Skiing,downhill women,Women,Silver,Athlete,ITA,United States,Winter,2002,Salt Lake City 2002
Alpine Skiing,downhill women,Women,Silver,Athlete,LIE,United States,Winter,1980,Lake Placid 1980
Alpine Skiing,downhill women,Women,Silver,Athlete,SWE,Japan,Winter,1998,Nagano 1998
Alpine Skiing,downhill women,Women,Silver,Athlete,USA,Canada,Winter,2010,Vancouver 2010
Alpine Skiing,downhill women,Women,Silver,Athlete,USA,France,Winter,1992,Albertville 1992
Alpine Skiing,downhill women,Women,Silver,Athlete,USA,Norway,Winter,1994,Lillehammer 1994
Alpine Skiing,downhill women,Women,Silver,Athlete,USA,United States,Winter,1960,Squaw Valley 1960
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,AUT,Austria,Winter,1964,Innsbruck 1964
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,AUT,France,Winter,1968,Grenoble 1968
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,AUT,Italy,Winter,1956,Cortina d'Ampezzo 1956
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,AUT,Italy,Winter,2006,Turin 2006
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,AUT,Norway,Winter,1952,Oslo 1952
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,AUT,Norway,Winter,1994,Lillehammer 1994
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,AUT,United States,Winter,1960,Squaw Valley 1960
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,AUT,United States,Winter,1980,Lake Placid 1980
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,CHE,Canada,Winter,1988,Calgary 1988
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,CHE,Japan,Winter,1972,Sapporo 1972
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,CHE,Japan,Winter,1998,Nagano 1998
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,FRA,Russian Federation,Winter,2014,Sochi 2014
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,LIE,Yugoslavia,Winter,1984,Sarajevo 1984
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,NOR,Canada,Winter,2010,Vancouver 2010
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,NOR,France,Winter,1992,Albertville 1992
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,NOR,United States,Winter,2002,Salt Lake City 2002
Alpine Skiing,giant slalom men,Men,Bronze,Athlete,SWE,Austria,Winter,1976,Innsbruck 1976
Alpine Skiing,giant slalom men,Men,Gold,Athlete,AUT,Italy,Winter,1956,Cortina d'Ampezzo 1956
Alpine Skiing,giant slalom men,Men,Gold,Athlete,AUT,Italy,Winter,2006,Turin 2006
Alpine Skiing,giant slalom men,Men,Gold,Athlete,AUT,Japan,Winter,1998,Nagano 1998
Alpine Skiing,giant slalom men,Men,Gold,Athlete,AUT,United States,Winter,2002,Salt Lake City 2002
Alpine Skiing,giant slalom men,Men,Gold,Athlete,CHE,Austria,Winter,1976,Innsbruck 1976
Alpine Skiing,giant slalom men,Men,Gold,Athlete,CHE,Canada,Winter,2010,Vancouver 2010
Alpine Skiing,giant slalom men,Men,Gold,Athlete,CHE,United States,Winter,1960,Squaw Valley 1960
Alpine Skiing,giant slalom men,Men,Gold,Athlete,CHE,Yugoslavia,Winter,1984,Sarajevo 1984
Alpine Skiing,giant slalom men,Men,Gold,Athlete,DEU,Norway,Winter,1994,Lillehammer 1994
Alpine Skiing,giant slalom men,Men,Gold,Athlete,FRA,Austria,Winter,1964,Innsbruck 1964
Alpine Skiing,giant slalom men,Men,Gold,Athlete,FRA,France,Winter,1968,Grenoble 1968
